,Unnamed: 0,filename,prompt,evaluation_seed
0,0,o_A-portrait-of-Anna-Kendrick-and-Aaron-Paul_1_0.jpg,A portrait of Anna Kendrick and Aaron Paul,1
1,1,o_A-portrait-of-Anna-Kendrick-and-Aaron-Paul_4_0.jpg,A portrait of Anna Kendrick and Aaron Paul,4
2,2,o_A-portrait-of-Anna-Kendrick-and-Alec-Baldwin_1_0.jpg,A portrait of Anna Kendrick and Alec Baldwin,1
3,3,o_A-portrait-of-Anna-Kendrick-and-Alec-Baldwin_3_0.jpg,A portrait of Anna Kendrick and Alec Baldwin,3
4,4,o_A-portrait-of-Anna-Kendrick-and-Ben-Affleck_1_0.jpg,A portrait of Anna Kendrick and Ben Affleck,1
5,5,o_A-portrait-of-Anna-Kendrick-and-Ben-Stiller_1_0.jpg,A portrait of Anna Kendrick and Ben Stiller,1
6,6,o_A-portrait-of-Anna-Kendrick-and-Ben-Stiller_4_0.jpg,A portrait of Anna Kendrick and Ben Stiller,4
7,7,o_A-portrait-of-Anna-Kendrick-and-Benicio-Del-Toro_0_0.jpg,A portrait of Anna Kendrick and Benicio Del Toro,0
8,8,o_A-portrait-of-Anna-Kendrick-and-Bill-Nye_0_0.jpg,A portrait of Anna Kendrick and Bill Nye,0
9,9,o_A-portrait-of-Anna-Kendrick-and-Bill-Nye_1_0.jpg,A portrait of Anna Kendrick and Bill Nye,1
10,10,o_A-portrait-of-Anna-Kendrick-and-Bill-Nye_3_0.jpg,A portrait of Anna Kendrick and Bill Nye,3
11,11,o_A-portrait-of-Anna-Kendrick-and-Burt-Reynolds_0_0.jpg,A portrait of Anna Kendrick and Burt Reynolds,0
12,12,o_A-portrait-of-Anna-Kendrick-and-Burt-Reynolds_3_0.jpg,A portrait of Anna Kendrick and Burt Reynolds,3
13,13,o_A-portrait-of-Anna-Kendrick-and-Dane-Dehaan_4_0.jpg,A portrait of Anna Kendrick and Dane Dehaan,4
14,14,o_A-portrait-of-Anna-Kendrick-and-David-Bowie_0_0.jpg,A portrait of Anna Kendrick and David Bowie,0
15,15,o_A-portrait-of-Anna-Kendrick-and-David-Bowie_1_0.jpg,A portrait of Anna Kendrick and David Bowie,1
