,Unnamed: 0,filename,prompt,evaluation_seed
0,0,o_A-portrait-of-Bill-Clinton-and-Amy-Poehler_0_0.jpg,A portrait of Bill Clinton and Amy Poehler,0
1,1,o_A-portrait-of-Bill-Clinton-and-Amy-Poehler_1_0.jpg,A portrait of Bill Clinton and Amy Poehler,1
2,2,o_A-portrait-of-Bill-Clinton-and-Amy-Schumer_0_0.jpg,A portrait of Bill Clinton and Amy Schumer,0
3,3,o_A-portrait-of-Bill-Clinton-and-Amy-Winehouse_2_0.jpg,A portrait of Bill Clinton and Amy Winehouse,2
4,4,o_A-portrait-of-Bill-Clinton-and-Aretha-Franklin_0_0.jpg,A portrait of Bill Clinton and Aretha Franklin,0
5,5,o_A-portrait-of-Bill-Clinton-and-Aretha-Franklin_1_0.jpg,A portrait of Bill Clinton and Aretha Franklin,1
6,6,o_A-portrait-of-Bill-Clinton-and-Bette-Midler_0_0.jpg,A portrait of Bill Clinton and Bette Midler,0
7,7,o_A-portrait-of-Bill-Clinton-and-Bette-Midler_3_0.jpg,A portrait of Bill Clinton and Bette Midler,3
8,8,o_A-portrait-of-Bill-Clinton-and-Bette-Midler_4_0.jpg,A portrait of Bill Clinton and Bette Midler,4
9,9,o_A-portrait-of-Bill-Clinton-and-Britney-Spears_0_0.jpg,A portrait of Bill Clinton and Britney Spears,0
10,10,o_A-portrait-of-Bill-Clinton-and-Brittany-Snow_2_0.jpg,A portrait of Bill Clinton and Brittany Snow,2
11,11,o_A-portrait-of-Bill-Clinton-and-Brittany-Snow_3_0.jpg,A portrait of Bill Clinton and Brittany Snow,3
12,12,o_A-portrait-of-Bill-Clinton-and-Countess-Vaughn_1_0.jpg,A portrait of Bill Clinton and Countess Vaughn,1
13,13,o_A-portrait-of-Bill-Clinton-and-Dakota-Johnson_0_0.jpg,A portrait of Bill Clinton and Dakota Johnson,0
14,14,o_A-portrait-of-Bill-Clinton-and-Dakota-Johnson_1_0.jpg,A portrait of Bill Clinton and Dakota Johnson,1
15,15,o_A-portrait-of-Bill-Clinton-and-Dakota-Johnson_3_0.jpg,A portrait of Bill Clinton and Dakota Johnson,3
16,16,o_A-portrait-of-Bill-Clinton-and-Dakota-Johnson_4_0.jpg,A portrait of Bill Clinton and Dakota Johnson,4
17,17,o_A-portrait-of-Bill-Clinton-and-Doris-Day_3_0.jpg,A portrait of Bill Clinton and Doris Day,3
18,18,o_A-portrait-of-Bill-Clinton-and-Emma-Roberts_0_0.jpg,A portrait of Bill Clinton and Emma Roberts,0
19,19,o_A-portrait-of-Bill-Clinton-and-Emma-Roberts_1_0.jpg,A portrait of Bill Clinton and Emma Roberts,1
20,20,o_A-portrait-of-Bill-Clinton-and-Emma-Roberts_4_0.jpg,A portrait of Bill Clinton and Emma Roberts,4
21,21,o_A-portrait-of-Bill-Clinton-and-Gal-Gadot_2_0.jpg,A portrait of Bill Clinton and Gal Gadot,2
22,22,o_A-portrait-of-Bill-Clinton-and-Gal-Gadot_3_0.jpg,A portrait of Bill Clinton and Gal Gadot,3
23,23,o_A-portrait-of-Bill-Clinton-and-Gillian-Anderson_0_0.jpg,A portrait of Bill Clinton and Gillian Anderson,0
24,24,o_A-portrait-of-Bill-Clinton-and-Hayley-Atwell_0_0.jpg,A portrait of Bill Clinton and Hayley Atwell,0
25,25,o_A-portrait-of-Bill-Clinton-and-Jennifer-Connelly_1_0.jpg,A portrait of Bill Clinton and Jennifer Connelly,1
26,26,o_A-portrait-of-Bill-Clinton-and-Judy-Garland_0_0.jpg,A portrait of Bill Clinton and Judy Garland,0
27,27,o_A-portrait-of-Bill-Clinton-and-Judy-Garland_3_0.jpg,A portrait of Bill Clinton and Judy Garland,3
28,28,o_A-portrait-of-Bill-Clinton-and-Julianne-Moore_0_0.jpg,A portrait of Bill Clinton and Julianne Moore,0
29,29,o_A-portrait-of-Bill-Clinton-and-Julianne-Moore_3_0.jpg,A portrait of Bill Clinton and Julianne Moore,3
30,30,o_A-portrait-of-Bill-Clinton-and-Julianne-Moore_4_0.jpg,A portrait of Bill Clinton and Julianne Moore,4
31,31,o_A-portrait-of-Bill-Clinton-and-Kate-Upton_2_0.jpg,A portrait of Bill Clinton and Kate Upton,2
32,32,o_A-portrait-of-Bill-Clinton-and-Kristen-Stewart_0_0.jpg,A portrait of Bill Clinton and Kristen Stewart,0
33,33,o_A-portrait-of-Bill-Clinton-and-Kristen-Stewart_1_0.jpg,A portrait of Bill Clinton and Kristen Stewart,1
34,34,o_A-portrait-of-Bill-Clinton-and-Kristen-Stewart_3_0.jpg,A portrait of Bill Clinton and Kristen Stewart,3
35,35,o_A-portrait-of-Bill-Clinton-and-Leslie-Jones_2_0.jpg,A portrait of Bill Clinton and Leslie Jones,2
36,36,o_A-portrait-of-Bill-Clinton-and-Lily-Collins_0_0.jpg,A portrait of Bill Clinton and Lily Collins,0
37,37,o_A-portrait-of-Bill-Clinton-and-Lily-Collins_2_0.jpg,A portrait of Bill Clinton and Lily Collins,2
