species,prompt,evaluation_seed,type
sweet pea,A high-quality macro photograph of a sweet pea flower in full bloom,1,other
sweet pea,A high-quality macro photograph of a sweet pea flower in full bloom,2,other
sweet pea,A high-quality macro photograph of a sweet pea flower in full bloom,3,other
sweet pea,A high-quality macro photograph of a sweet pea flower in full bloom,4,other
sweet pea,A high-quality macro photograph of a sweet pea flower in full bloom,5,other
sweet pea,"A detailed botanical image of a sweet pea flower, focused on the petals and textures",1,other
sweet pea,"A detailed botanical image of a sweet pea flower, focused on the petals and textures",2,other
sweet pea,"A detailed botanical image of a sweet pea flower, focused on the petals and textures",3,other
sweet pea,"A detailed botanical image of a sweet pea flower, focused on the petals and textures",4,other
sweet pea,"A detailed botanical image of a sweet pea flower, focused on the petals and textures",5,other
sweet pea,A vibrant close-up of a sweet pea flower covered in morning dew,1,other
sweet pea,A vibrant close-up of a sweet pea flower covered in morning dew,2,other
sweet pea,A vibrant close-up of a sweet pea flower covered in morning dew,3,other
sweet pea,A vibrant close-up of a sweet pea flower covered in morning dew,4,other
sweet pea,A vibrant close-up of a sweet pea flower covered in morning dew,5,other
sweet pea,"A professional photograph of a single sweet pea flower, isolated",2,other
sweet pea,"A professional photograph of a single sweet pea flower, isolated",4,other
sweet pea,"A professional photograph of a single sweet pea flower, isolated",5,other
sweet pea,"A professional photograph of a single sweet pea flower, isolated",6,other
sweet pea,"A professional photograph of a single sweet pea flower, isolated",15,other
sweet pea,An artistic close-up photo of a sweet pea flower with natural lighting and shallow depth of field,1,other
sweet pea,An artistic close-up photo of a sweet pea flower with natural lighting and shallow depth of field,2,other
sweet pea,An artistic close-up photo of a sweet pea flower with natural lighting and shallow depth of field,3,other
sweet pea,An artistic close-up photo of a sweet pea flower with natural lighting and shallow depth of field,5,other
sweet pea,An artistic close-up photo of a sweet pea flower with natural lighting and shallow depth of field,7,other
moon orchid,A high-quality macro photograph of a moon orchid flower in full bloom,0,other
moon orchid,A high-quality macro photograph of a moon orchid flower in full bloom,1,other
moon orchid,A high-quality macro photograph of a moon orchid flower in full bloom,2,other
moon orchid,A high-quality macro photograph of a moon orchid flower in full bloom,5,other
moon orchid,A high-quality macro photograph of a moon orchid flower in full bloom,6,other
moon orchid,"A detailed botanical image of a moon orchid flower, focused on the petals and textures",1,other
moon orchid,"A detailed botanical image of a moon orchid flower, focused on the petals and textures",2,other
moon orchid,"A detailed botanical image of a moon orchid flower, focused on the petals and textures",8,other
moon orchid,"A detailed botanical image of a moon orchid flower, focused on the petals and textures",15,other
moon orchid,"A detailed botanical image of a moon orchid flower, focused on the petals and textures",18,other
moon orchid,A vibrant close-up of a moon orchid flower covered in morning dew,0,other
moon orchid,A vibrant close-up of a moon orchid flower covered in morning dew,1,other
moon orchid,A vibrant close-up of a moon orchid flower covered in morning dew,4,other
moon orchid,A vibrant close-up of a moon orchid flower covered in morning dew,6,other
moon orchid,A vibrant close-up of a moon orchid flower covered in morning dew,8,other
moon orchid,"A professional photograph of a single moon orchid flower, isolated",0,other
moon orchid,"A professional photograph of a single moon orchid flower, isolated",2,other
moon orchid,"A professional photograph of a single moon orchid flower, isolated",6,other
moon orchid,"A professional photograph of a single moon orchid flower, isolated",7,other
moon orchid,"A professional photograph of a single moon orchid flower, isolated",8,other
moon orchid,An artistic close-up photo of a moon orchid flower with natural lighting and shallow depth of field,0,other
moon orchid,An artistic close-up photo of a moon orchid flower with natural lighting and shallow depth of field,1,other
moon orchid,An artistic close-up photo of a moon orchid flower with natural lighting and shallow depth of field,4,other
moon orchid,An artistic close-up photo of a moon orchid flower with natural lighting and shallow depth of field,5,other
moon orchid,An artistic close-up photo of a moon orchid flower with natural lighting and shallow depth of field,6,other
bird of paradise,A high-quality macro photograph of a bird of paradise flower in full bloom,0,other
bird of paradise,A high-quality macro photograph of a bird of paradise flower in full bloom,1,other
bird of paradise,A high-quality macro photograph of a bird of paradise flower in full bloom,2,other
bird of paradise,A high-quality macro photograph of a bird of paradise flower in full bloom,3,other
bird of paradise,A high-quality macro photograph of a bird of paradise flower in full bloom,4,other
bird of paradise,"A detailed botanical image of a bird of paradise flower, focused on the petals and textures",0,other
bird of paradise,"A detailed botanical image of a bird of paradise flower, focused on the petals and textures",1,other
bird of paradise,"A detailed botanical image of a bird of paradise flower, focused on the petals and textures",2,other
bird of paradise,"A detailed botanical image of a bird of paradise flower, focused on the petals and textures",3,other
bird of paradise,"A detailed botanical image of a bird of paradise flower, focused on the petals and textures",4,other
bird of paradise,A vibrant close-up of a bird of paradise flower covered in morning dew,0,other
bird of paradise,A vibrant close-up of a bird of paradise flower covered in morning dew,1,other
bird of paradise,A vibrant close-up of a bird of paradise flower covered in morning dew,3,other
bird of paradise,A vibrant close-up of a bird of paradise flower covered in morning dew,4,other
bird of paradise,A vibrant close-up of a bird of paradise flower covered in morning dew,5,other
bird of paradise,"A professional photograph of a single bird of paradise flower, isolated",0,other
bird of paradise,"A professional photograph of a single bird of paradise flower, isolated",1,other
bird of paradise,"A professional photograph of a single bird of paradise flower, isolated",2,other
bird of paradise,"A professional photograph of a single bird of paradise flower, isolated",3,other
bird of paradise,"A professional photograph of a single bird of paradise flower, isolated",4,other
bird of paradise,An artistic close-up photo of a bird of paradise flower with natural lighting and shallow depth of field,0,other
bird of paradise,An artistic close-up photo of a bird of paradise flower with natural lighting and shallow depth of field,1,other
bird of paradise,An artistic close-up photo of a bird of paradise flower with natural lighting and shallow depth of field,2,other
bird of paradise,An artistic close-up photo of a bird of paradise flower with natural lighting and shallow depth of field,3,other
bird of paradise,An artistic close-up photo of a bird of paradise flower with natural lighting and shallow depth of field,4,other
globe thistle,A high-quality macro photograph of a globe thistle flower in full bloom,4,other
globe thistle,A high-quality macro photograph of a globe thistle flower in full bloom,7,other
